Fon Kodu,Değerleme Tarihi,Birim Pay Fiyatı,Para Birimi,Toplam Fon Değeri,Pay Adedi,Günlük Getiri (%),Yilbasindan %,Son 1 Aylık Getiri (%),Son 3 Aylık Getiri (%),Son 6 Aylık Getiri (%),Son 1 Yıllık Getiri (%)
IOT,17.09.2026,"60,313654",TL,"271.564.639,57 TL",4.502.540,-0.044,18.2566,1.6935,6.5948,14.3981,27.555
ITY,17.09.2026,"1,446658",TL,"24.397.610,54 TL",16.864.810,0.0234,12.1564,1.4184,3.9712,8.3001,22.3238
IUL,17.09.2026,"1.391,494029",TL,"401.603.266,21 TL",288.613,0.0379,3.0139,0.1798,1.6479,2.4901,29.5413
IZA,17.09.2026,"1,931869",TL,"400.350.307,17 TL",207.234.656,2.1467,13.8029,-1.8351,-3.8146,2.3879,11.1956
KMF,17.09.2026,"3,464602",TL,"1.784.444.364,92 TL",515.050.267,0.195,9.9296,-0.3475,3.2262,-4.6568,34.9108
KNI,17.09.2026,"1,412285",TL,"9.881.804.013,29 TL",6.997.034.308,0.0932,28.9369,3.0584,9.6375,20.3482,NULL
KOT,17.09.2026,"1,527959",TL,"159.851.322,75 TL",104.617.528,4.0629,24.2156,4.5543,11.1582,11.2815,24.0254
KSK,17.09.2026,"3,010502",TL,"4.817.402.703,33 TL",1.600.198.908,0.1001,30.7333,3.1959,10.1886,21.5282,46.3024
KTI,17.09.2026,"1,996559",TL,"95.388.910,04 TL",47.776.654,1.0838,28.4137,-7.5299,-1.9212,10.5384,26.7713
KVS,17.09.2026,"3,928253",TL,"22.255.333.462,74 TL",5.665.453.258,0.0982,32.1887,3.3593,10.6876,22.5999,48.9727
KZO,17.09.2026,"1,900266",TL,"984.272.026,49 TL",517.965.287,-0.9024,4.7305,-7.956,-7.3052,-0.7095,NULL
LGK,17.09.2026,"1,448366",TL,"1.754.493.412,56 TL",1.211.360.793,0.2368,27.0581,2.5571,8.688,18.2132,41.1357
LZV,17.09.2026,"5,022721",TL,"57.179.031,91 TL",11.384.074,-7.0549,-36.8608,-31.1926,-43.4047,-35.9312,-87.4493
MCU,17.09.2026,"1,423704",TL,"233.999.264,90 TL",164.359.462,-0.0489,30.9785,2.0247,9.0115,15.8079,33.8304
MSK,17.09.2026,"4,077910",TL,"1.222.955.494,25 TL",299.897.625,0.151,30.2129,3.4282,9.9904,21.6102,46.1002
MTI,17.09.2026,"0,018644",TL,"4.755.240,29 TL",255.061.228,0.1719,-0.8403,2.6652,3.9474,0.9803,2.6426
NLD,17.09.2026,"54,915112",TL,"3.837.220.177,48 TL",69.875.487,-0.1036,14.8908,0.9936,5.5831,12.4153,22.7748
NOV,17.09.2026,"45,175860",TL,"637.970.291,74 TL",14.121.929,-0.1114,-7.0609,-12.0109,-20.4282,-20.7278,-13.1295
NTB,17.09.2026,"5,789681",TL,"3.189.906.213,12 TL",550.964.070,5.9107,23.1346,3.0445,-0.2424,8.5137,20.5719
OFN,17.09.2026,"2,652960",TL,"206.033.859,45 TL",77.661.865,-0.0068,-0.1544,NULL,NULL,NULL,NULL
OMG,17.09.2026,"1,812597",TL,"1.298.178.048,78 TL",716.197.953,3.7006,30.6277,-0.7377,-1.5436,9.4423,39.5569
ORI,17.09.2026,"61,635419",TL,"1.710.553.300,70 TL",27.752.765,0.0031,14.8089,1.1667,5.6258,12.8325,22.8204
OTM,17.09.2026,"1,295695",TL,"14.454.679,27 TL",11.155.924,1.5254,1.6898,0.6578,-3.3276,-2.1761,1.2579
PAC,17.09.2026,"3,040688",TL,"779.228.603,47 TL",256.267.233,-0.1595,9.698,-1.8442,-3.2225,-18.6697,10.3522
PBS,17.09.2026,"70,505606",TL,"398.983.749,71 TL",5.658.894,0.0084,16.8265,1.334,5.8063,12.8104,25.6407
PGS,17.09.2026,"1,274548",TL,"157.581.838,05 TL",123.637.416,4.1748,15.9524,-1.3434,-5.7569,7.0804,15.531
POV,17.09.2026,"1,161086",TL,"427.879.063,87 TL",368.516.395,-0.1722,7.0949,0.4884,1.9773,4.8943,15.8641
PPF,17.09.2026,"5,285349",TL,"340.899.698,29 TL",64.498.999,-2.7273,31.6131,2.4554,8.7808,20.0309,46.6223
PPZ,17.09.2026,"6,772612",TL,"11.126.749.491,17 TL",1.642.903.609,0.0392,30.407,3.1367,10.0771,21.4951,46.3731
PRF,17.09.2026,"69,730012",TL,"202.565.613,91 TL",2.904.999,-0.0469,24.4358,1.3561,14.4108,20.3286,36.2753
PSG,17.09.2026,"9,069393",TL,"357.475.823,58 TL",39.415.627,-0.3302,-10.8416,1.3268,5.3181,-2.2436,-20.71
PSL,17.09.2026,"8,676328",TL,"265.910.563,39 TL",30.647.823,-0.0283,20.3467,2.4541,7.5971,14.2497,29.6783
PSS,17.09.2026,"6,172736",TL,"186.508.820,09 TL",30.214.936,0.0958,28.9757,3.1359,9.8951,20.4301,44.1446
PTG,17.09.2026,"64,885551",TL,"118.091.702,37 TL",1.820.000,-0.0119,17.3981,1.4164,5.7539,11.9281,27.3163
PUA,17.09.2026,"10,005733",TL,"4.975.567.513,93 TL",497.271.653,2.9663,28.1079,2.1472,5.2516,15.5695,42.7466
PYF,17.09.2026,"10,842744",TL,"3.129.227.296,95 TL",288.601.039,0.1863,41.155,3.2426,9.3245,20.5834,46.9996
PYH,17.09.2026,"6,773198",TL,"4.185.108.959,65 TL",617.892.627,1.4028,8.6075,-1.7588,-13.3795,-3.6706,10.7485
PYL,17.09.2026,"9,508968",TL,"552.104.594,54 TL",58.061.461,2.9033,25.9268,0.2863,8.6279,15.7533,22.5655
RCV,17.09.2026,"1,726955",TL,"61.589.518,85 TL",35.663.647,-1.0241,28.3915,-3.7584,4.1042,12.5057,36.2997
RKL,17.09.2026,"2,823399",TL,"2.209.598.638,19 TL",782.602.250,6.9386,4.2126,1.6997,-6.5701,-1.8481,9.8524
SAT,17.09.2026,"220,116108",TL,"1.750.500.643,76 TL",7.952.624,0.9016,-1.1077,-8.3543,-19.2252,-10.1088,-1.3888
SFS,17.09.2026,"1,411280",TL,"31.168.991,74 TL",22.085.624,1.2675,26.3089,0.6595,3.4785,12.5999,38.7621
SPA,17.09.2026,"70,921118",TL,"3.287.314.375,20 TL",46.351.700,-0.0814,19.1854,1.5272,9.0737,15.3717,28.3568
SPD,17.09.2026,"82,951399",TL,"351.241.110,06 TL",4.234.300,-0.0627,14.9559,1.0144,5.2499,12.2221,22.5983
SPE,17.09.2026,"109,327736",TL,"4.459.154.645,98 TL",40.787.039,-0.1271,18.6198,1.2437,5.8823,14.1212,27.78
SPN,17.09.2026,"10,233574",TL,"1.360.347.112,59 TL",132.929.819,0.2915,24.9396,2.7442,7.9478,17.784,37.8516
SRA,17.09.2026,"14,339154",TL,"1.607.089.134,08 TL",112.076.981,-7.6633,-2.8818,-15.7469,5.8725,27.6732,22.8869
SRE,17.09.2026,"63,932109",TL,"1.000.614.032,76 TL",15.651.197,-0.0187,13.5287,0.9666,4.8381,8.371,22.1166
SRO,17.09.2026,"27,697786",TL,"7.720.893.157,81 TL",278.754.881,4.2026,20.4117,10.3077,2.7896,19.832,27.4262
SVS,17.09.2026,"2,661270",TL,"1.102.374.764,91 TL",414.228.781,2.6184,20.7315,-1.1102,-0.6662,9.1,36.0272
SYF,17.09.2026,"205,743576",TL,"1.536.257.241,46 TL",7.466.854,1.1648,-6.7392,-11.8475,-25.2121,-15.3557,-9.5065
SYL,17.09.2026,"4.659,936397",TL,"1.289.898.354,29 TL",276.806,4.7552,21.5398,12.5339,3.4041,21.957,28.501
SYR,17.09.2026,"49,071233",TL,"304.283.941,83 TL",6.200.862,-0.4613,8.1365,-0.7266,1.5227,4.9034,13.1169
TAZ,17.09.2026,"2,440645",TL,"1.150.808.419,52 TL",471.518.068,1.058,29.2478,-1.3571,1.0724,12.8327,41.9706
TEJ,17.09.2026,"2,759230",TL,"693.830.085,24 TL",251.457.822,0.9651,46.1488,-2.2241,2.1707,40.6672,59.6106
THC,17.09.2026,"3,417286",TL,"3.080.882.513,44 TL",901.558.310,0.0115,71.3157,0.8851,68.2741,70.241,127.17
THO,17.09.2026,"51,100713",TL,"4.887.326.994,98 TL",95.641.072,0.0212,12.5937,1.1735,5.714,10.3004,19.3829
THS,17.09.2026,"64,182182",TL,"421.078.373,81 TL",6.560.674,-0.1847,14.6786,0.8072,5.0611,12.3305,21.5405
TJL,17.09.2026,"22,865675",TL,"1.554.652.608,35 TL",67.990.671,3.6044,21.8966,9.0831,2.0537,18.6152,29.0788
TKH,17.09.2026,"2,148591",TL,"438.803.647,97 TL",204.228.599,1.5784,19.4153,0.859,-5.7967,-0.3084,19.5104
TMU,17.09.2026,"1,452397",TL,"57.005.668,87 TL",39.249.371,0.6249,26.6864,2.2319,6.9181,16.4977,41.7305
TOP,17.09.2026,"983,097761",TL,"983.097.760,62 TL",1.000.000,-0.0061,-1.7851,-0.1631,NULL,NULL,NULL
TRN,17.09.2026,"0,926860",TL,"1.695.340.626,21 TL",1.829.123.080,-5.8044,3.9483,-13.4537,-17.9614,-16.2891,-44.059
TSP,17.09.2026,"70,777627",TL,"1.737.541.348,34 TL",24.549.302,0.0964,15.0483,0.1758,4.3745,12.2034,24.1603
TTJ,17.09.2026,"1,021781",TL,"689.208.355,25 TL",674.516.489,0.0119,2.1492,0.7735,1.6958,1.9134,NULL
UFH,17.09.2026,"73,626704",TL,"270.673.779,26 TL",3.676.299,-0.0233,15.5537,1.0782,5.239,12.1762,21.5192
UGF,17.09.2026,"1,131966",TL,"1.677.752.918,37 TL",1.482.158.783,0.0927,12.8397,3.9234,10.4529,NULL,NULL
UHL,17.09.2026,"74,286969",TL,"2.653.809.842,24 TL",35.723.760,-0.0485,15.0906,1.0331,5.5794,12.7263,23.0555
USS,17.09.2026,"3,961666",TL,"4.294.582.708,05 TL",1.084.034.643,0.3122,32.9575,3.2223,10.0126,23.501,48.8507
VCD,17.09.2026,"6,544328",TL,"968.937.864,01 TL",148.057.660,0.0947,31.1047,3.9961,10.5705,21.6359,52.174
VCG,17.09.2026,"5,896057",TL,"2.042.076.708,99 TL",346.346.139,0.0627,30.5625,3.1589,10.094,21.33,46.3404
VFS,17.09.2026,"2,021532",TL,"6.510.737,38 TL",3.220.695,0.266,13.7829,2.9434,5.2181,10.051,23.1399
VTF,17.09.2026,"2,058194",TL,"393.422.716,42 TL",191.149.460,-0.3197,17.8568,-4.702,-10.5808,-0.7429,15.8079
YDM,17.09.2026,"1,922583",TL,"1.304.830.825,86 TL",678.686.262,2.1417,37.9935,2.6179,10.7012,24.3007,54.5049
YPR,17.09.2026,"1,695131",TL,"80.002.248,95 TL",47.195.309,3.8277,28.714,1.3654,0.8664,13.1357,42.114
ZDR,17.09.2026,"980,201793",TL,"1.212.112.636,42 TL",1.236.595,-0.0031,-0.1641,NULL,NULL,NULL,NULL
ZFL,17.09.2026,"1,159533",TL,"499.032.489,45 TL",430.373.869,0.0529,15.4578,2.6834,5.0233,10.159,-99.9895
ZGU,17.09.2026,"1.752,618102",TL,"170.587.577,77 TL",97.333,0.56,10.6514,0.9964,2.3813,5.8917,29.1594
ZMT,17.09.2026,"63,354940",TL,"1.733.287.570,57 TL",27.358.365,-0.4271,13.8794,0.3083,4.6648,12.3922,18.7791
ZMU,17.09.2026,"0,217667",TL,"20.064.719,04 TL",92.181.015,0.0092,-81.1275,2.4224,6.9701,-76.3137,-80.006
ZPS,17.09.2026,"0,012669",TL,"192.738,93 TL",15.212.991,0.0553,161.4321,-0.1812,177.6463,205.5716,155.4749
ZUC,17.09.2026,"1.161,913662",TL,"1.840.945.301,23 TL",1.584.408,0.0657,16.2127,2.0196,8.5159,NULL,NULL
